255104 9.05   4.42×100   1.18×100     
256104 8.93   2.08×100   2.81×100     
258104 9.19   1.06×10−1   4.20×10−1     
259104 9.13   2.60×100   6.09×10−1     
261104 8.65   8.15×100   1.75×101     
263104 8.25   2.00×103   3.59×102     
256105 9.34   2.84×100   3.82×10−1     
257105 9.21   2.45×100   9.08×10−1     
258105 9.50   5.58×100   1.24×10−1     
259105 9.62   5.10×10−1   5.52×10−2     
270105 8.02   3.60×103   4.72×103     
259106 9.80   3.11×10−1   3.90×10−2     
260106 9.90   1.24×10−2   2.06×10−2     
261106 9.71   1.87×10−1   6.38×10−2     
263106 9.40   1.08×100   4.56×10−1     
267106 8.32   6.35×102   1.06×103     
269106 8.70   4.80×102   5.27×101     
271106 8.66   1.63×102   6.25×101     
260107 10.4   3.50×10−2   2.35×10−3     
261107 10.5   1.18×10−2   1.28×10−3     
265107 9.38   9.40×10−1   1.11×100     
266107 9.43   2.50×100   7.60×10−1     
267107 8.96   2.20×101   1.91×101     
270107 9.06   6.00×101   8.63×100     
272107 9.14   8.18×100   4.43×100     
274107 8.97   3.00×101   1.43×101     
264108 10.59   1.60×10−3   1.48×10−3     
265108 10.47   1.96×10−3   2.82×10−3     
266108 10.35   2.30×10−3   5.58×10−3     
268108 9.62   1.42×100   4.55×10−1     
269108 9.32   1.52×101   3.39×100     
270108 9.15   7.60×100   1.07×101     
273108 9.73   9.10×10−1   1.90×10−1     
275108 9.44   2.90×10−1   1.20×100     
270109 10.18   6.30×10−3   2.83×10−2     
274109 10.04   4.44×10−1   5.90×10−2     
275109 10.48   9.70×10−3   3.99×10−3     
276109 9.81   7.20×10−1   2.27×10−1     
278109 9.59   3.60×100   9.03×10−1     
267110 11.78   1.00×10−5   1.71×10−5     
269110 11.51   1.79×10−4   4.13×10−5     
270110 11.12   2.05×10−4   3.00×10−4     
271110 10.87   1.63×10−3   1.10×10−3     
273110 11.37   1.70×10−4   7.25×10−5     
277110 10.83   4.10×10−3   1.11×10−3     
279110 9.84   2.00×100   3.82×10−1     
281110 8.86   2.22×102   3.55×102     
272111 11.20   3.80×10−3   3.81×10−4     
278111 10.85   4.20×10−3   2.03×10−3     
279111 10.52   1.70×10−1   1.29×10−2     
280111 9.89   3.53×100   5.96×10−1     
281111 9.41   1.70×102   1.42×101     
282111 9.08   1.86×102   1.47×102     
277112 11.62   6.90×10−4   7.42×10−5     
281112 10.46   1.3×10−1   3.70×10−2     
283112 9.67   3.80×100   5.21×100     
284112 9.30   9.81×100   6.61×101     
285112 9.32   3.20×101   5.57×101     
278113 11.85   2.40×10−4   4.61×10−5          
282113 10.78   7.00×10−2   1.18×10−2     
283113 10.26   1.02×10−1   2.47×10−1     
284113 10.11   9.43×10−1   6.22×10−1     
285113 9.84   3.22×100   3.52×100     
286113 9.79   2.00×101   4.75×100     
285114 10.54   4.70×10−1   9.36×10−2     
286114 10.37   3.50×10−1   2.54×10−1     
287114 10.16   5.20×10−1   9.15×10−1     
288114 10.07   7.50×10−1   1.55×100     
289114 9.97   2.40×100   2.91×100     
287115 10.74   1.20×10−1   5.71×10−2     
288115 10.63   1.90×10−1   1.06×10−1     
289115 10.49   2.00×10−1   2.40×10−1     
290115 10.45   1.30×100   2.95×10−1     
290116 10.99   8.00×10−3   2.57×10−2     
291116 10.89   2.80×10−2   4.41×10−2     
292116 10.77   2.40×10−2   8.41×10−2     
293116 10.68   8.00×10−2   1.42×10−1     
293117 11.18   1.46×10−2   1.66×10−2     
294117 11.20   5.10×10−2   1.43×10−2     
294118 11.81   1.40×10−3   1.10×10−3     
